title,artist,cover,year
Dreamscape Symphony,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC0303241133.jpeg,2020
Veil of Luminescence,Radiohead,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90023.jpeg,2020
City Mashup Dreams,Glass Animals,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource364.jpg,2020
Dynamic Athlete 53,Imagine Dragons,https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsR18.JPG,2020
Chaotic Vision,Radiohead,https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsZ19.jpeg,2020
The Fortune Elephant,Tame Elephant,https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBRUINS8828.jpg,2020
Vibrant Journeys,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource677.jpg,2020
Stellar Echoes,Pink Floyd,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource123.jpg,1973
Midnight Grooves,Daft Punk,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource456.jpg,2013
Cosmic Wanderer,David Bowie,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource789.jpg,1972
Vital Brush Symphony	Graffiti Beats Collective	https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsR4.jpeg	2020
Urban Interconnection	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRC99047.jpeg	2020
"Mysteries of the Human Form"	Bon Iver	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource85.jpg	2020
Rhythmic Dreams of Summer	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource421.jpg	2020
Dreamscape Spectrum	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRC0303241151.jpeg	2020
Shadow Mirage	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource472.jpg	2020
Dreaming of Winter's Reflection	Sigur RÃ³s	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource126.jpg	2020
Dream in Vibrant Blue	Aurora	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource373.jpg	2020
"Nostalgic Whimsy"	Brian Eno	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource457.jpg	2020
Dreamscape Vessel	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource148.jpg	2020
Reflective Layers of Venice	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource137.jpg	2020
Dreamscape Flow	Tame Forest	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource436.jpg	2020
Dreamy Abstract Motion	Bon Iver	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource423.jpg	2020
Ethereal Flow	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource89.jpg	2020
Misty Cemetery Whispers	Bon Iver	https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90024.jpeg	2020
"Dance of Light Trails"	Brian Eno	https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90030.jpeg	2020
Dynamic Movements	Tame Impala	https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource602.jpg	2020
